saham,harga,bvps,eps,deviden_yield,3m_return,6m_return,ytd_return
MDLN,97,351.4,62.68,,41,17,18
BULL,98,132.53,36.14,,-26,-45,-45
LPKR,103,231.14,64.23,,8,27,30
INDO,111,232.22,36.01,,25,19,22
DGIK,115,111.89,3.7,,-5,8,-13
DYAN,120,126.51,50.74,,28,21,22
RICY,120,340.63,42.31,,69,41,45
ERTX,180,287.36,53.66,6.48,-13,-50,-62
KIJA,180,262.12,50.05,,41,23,23
GTBO,193,303.34,66.44,3.18,41,50,3
KOBX,244,254.34,111.71,4.1,-21,-33,-31
IKBI,260,861.4,42.17,,25,19,24
HAIS,266,223.7,76.83,4.98,40,21,22
LPLI,284,1052.97,1485.9,,7,1,4
TMAS,290,42.89,18.19,4.56,-4,52,49
IMPC,336,39.19,8.9,0.89,8,5,5
SMDR,372,445.99,102.68,2.15,-1,-6,-4
LMSH,408,1189.79,110.55,,-20,-35,-34
KKGI,468,419.63,168.85,5.34,12,9,17
RIGS,498,1085.39,97.21,,12,1,-1
PSSI,555,454.72,213.73,9.01,-13,-10,-7
